Area,Bedrooms,Bathrooms,Stories,Parking,Age,Locality Rating,Price,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,City_Pune,Furnishing_Semi-Furnished,Furnishing_Unfurnished,Main Road_Yes,Guest Room_Yes,Basement_Yes,Water Supply_Both,Water Supply_Corporation,Air Conditioning_Yes,Preferred Tenant_Company,Preferred Tenant_Family
1260,4,3,2,1,24,4,1274350,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0
5790,2,1,1,1,7,5,1094846,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0
5626,5,2,3,0,15,6,1495933,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
5591,1,1,1,1,47,3,1003442,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
4172,5,1,1,1,44,1,1306676,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3492,5,1,3,1,14,4,1760917,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
866,2,2,3,1,0,6,1127735,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
5734,1,1,3,2,21,2,1097568,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
4826,2,2,2,1,2,2,911995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5978,3,3,3,1,37,1,1539430,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
3844,2,1,3,0,13,9,1051698,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
3571,2,2,3,2,35,3,1140669,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1
3319,2,2,1,0,17,2,919993,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
530,1,1,1,0,46,4,522381,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0
2085,2,3,2,0,40,6,1100470,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
1169,1,2,1,2,17,1,785362,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2791,4,1,2,0,2,9,902155,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2833,3,3,1,0,9,9,1248678,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
5711,1,2,3,0,48,8,836223,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
5451,4,2,1,1,38,6,1349892,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1584,1,3,2,0,46,4,932771,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0
4955,1,3,1,2,0,2,923744,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
3785,3,1,3,2,26,8,1105969,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
4517,5,1,2,1,26,7,1386508,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
5243,5,2,3,2,10,4,2048184,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
3304,1,3,3,2,48,3,1125735,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
874,2,3,2,1,4,6,1258106,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
1482,4,3,3,0,6,1,1577103,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2958,2,2,3,1,18,2,1126058,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
2447,2,3,1,0,28,7,1097948,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3147,1,3,3,0,14,3,1360399,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
1375,1,2,3,2,34,1,718529,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
2206,1,1,3,1,46,2,884307,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
589,1,1,3,2,36,10,918294,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
3134,5,2,2,2,11,10,1989144,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
3405,1,3,1,0,29,9,793239,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
5058,5,2,3,2,19,7,2005165,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
2299,5,1,3,1,36,7,1653227,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0
1667,1,1,2,2,2,10,1005073,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1928,3,2,3,2,8,8,1435226,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
3602,4,2,2,0,40,8,1397685,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
3956,2,1,1,1,38,9,1080950,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
4290,5,2,1,2,25,2,1782641,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0
1046,4,1,3,0,1,8,1290088,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
3288,3,2,3,2,22,8,1396254,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0
5793,2,2,3,1,22,5,1403537,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
2835,2,2,2,2,20,5,1030157,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1
1000,5,1,3,2,15,4,1243336,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0
2763,1,2,3,0,8,5,1101178,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
2461,3,1,1,2,12,2,1056514,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
641,5,1,3,0,27,2,949233,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2441,3,2,1,1,26,5,1402286,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3224,1,2,3,2,16,3,894925,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
3012,1,1,1,1,37,1,627214,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1763,5,1,3,1,35,9,1322158,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
5886,1,3,1,2,0,2,1217676,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1878,4,1,2,0,17,10,1368388,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
2956,2,3,1,1,8,2,1019254,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1175,5,3,1,1,12,4,1320232,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4414,3,3,1,2,39,2,1376318,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
434,4,2,3,2,44,7,1311196,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1
3552,5,2,3,2,14,10,1517838,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
2355,1,1,3,2,42,1,968111,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
1985,1,3,2,2,43,2,752617,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
4343,1,2,2,2,45,5,1003006,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0
3473,1,2,1,0,3,2,778863,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1421,3,2,2,1,32,9,1191070,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
3861,4,2,1,0,23,4,1394227,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1
3013,2,2,1,0,35,9,1027669,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5625,3,3,1,2,40,1,1623693,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0
4243,3,3,2,1,9,1,1346974,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
1900,2,3,3,0,35,1,1175899,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
5198,2,3,2,2,19,4,1449814,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
561,1,1,1,2,40,9,622387,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4697,3,3,1,1,44,8,1197363,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1
2381,5,2,2,0,43,7,1395049,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1
1395,2,3,1,0,10,1,769432,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
5311,2,1,1,0,11,3,855112,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
3742,4,2,2,2,17,9,1238883,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
4951,5,3,2,1,29,9,1747706,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
4198,5,3,2,1,43,5,1693536,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1675,2,3,1,0,47,6,888699,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1416,1,2,1,2,36,6,1009500,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
737,4,2,3,0,19,10,1140380,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
1278,5,1,3,1,24,4,1217272,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1
1476,2,2,2,2,11,1,1252281,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
5287,5,2,3,0,20,5,1533016,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1
4393,4,3,1,0,24,1,1290823,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
